age_group,sex,household_income,province
60+,Female,"$75,000 to $99,999",Ontario
45 to 59,Female,"$50,000 to $74,999",Ontario
60+,Female,"$25,000 to $49,999",Ontario
60+,Male,"$100,000 to $ 124,999",British Columbia
Age 18 to 29,Female,"$125,000 and more",Ontario
45 to 59,Female,"$125,000 and more",Ontario
60+,Female,"$50,000 to $74,999",Ontario
60+,Female,"$75,000 to $99,999",Ontario
Age 30 to 44,Female,"$75,000 to $99,999",Ontario
Age 30 to 44,Female,"$125,000 and more",Ontario
Age 30 to 44,Male,"$75,000 to $99,999",Ontario
Age 30 to 44,Male,"$25,000 to $49,999",Quebec
60+,Male,"$25,000 to $49,999",New Brunswick
60+,Female,"$125,000 and more",British Columbia
Age 30 to 44,Female,"$100,000 to $ 124,999",Ontario
45 to 59,Female,"$75,000 to $99,999",Ontario
45 to 59,Male,"$125,000 and more",Alberta
Age 30 to 44,Female,"$125,000 and more",British Columbia
45 to 59,Male,"$125,000 and more",Ontario
60+,Female,"Less than $25,000",Quebec
60+,Female,"Less than $25,000",Quebec
45 to 59,Male,"$100,000 to $ 124,999",Nova Scotia
60+,Male,"$125,000 and more",Quebec
NA,Female,"$125,000 and more",Ontario
45 to 59,Male,"$100,000 to $ 124,999",Alberta
Age 30 to 44,Male,"$25,000 to $49,999",Ontario
45 to 59,Male,"$125,000 and more",British Columbia
Age 18 to 29,Female,"$125,000 and more",Ontario
60+,Female,"$50,000 to $74,999",Alberta
NA,Male,"$50,000 to $74,999",New Brunswick
Age 30 to 44,Male,"$25,000 to $49,999",British Columbia
45 to 59,Female,"$125,000 and more",Quebec
60+,Female,"Less than $25,000",Quebec
Age 30 to 44,Male,"$75,000 to $99,999",Quebec
Age 30 to 44,Male,"$125,000 and more",Prince Edward Island
Age 18 to 29,Male,"$50,000 to $74,999",Alberta
45 to 59,Male,"$50,000 to $74,999",British Columbia
Age 30 to 44,Female,"$25,000 to $49,999",British Columbia
45 to 59,Male,"Less than $25,000",Quebec
60+,Female,"$50,000 to $74,999",Quebec
60+,Female,"Less than $25,000",New Brunswick
60+,Male,"$25,000 to $49,999",New Brunswick
60+,Male,"$75,000 to $99,999",Newfoundland and Labrador
45 to 59,Female,"$100,000 to $ 124,999",Ontario
60+,Female,"$25,000 to $49,999",Quebec
60+,Male,"Less than $25,000",Quebec
45 to 59,Male,"$75,000 to $99,999",Newfoundland and Labrador
60+,Female,"$75,000 to $99,999",British Columbia
Age 18 to 29,Male,"$25,000 to $49,999",Ontario
Age 30 to 44,Female,"$25,000 to $49,999",British Columbia
60+,Male,"$125,000 and more",Ontario
45 to 59,Female,"$50,000 to $74,999",Alberta
45 to 59,Male,"$100,000 to $ 124,999",Newfoundland and Labrador
Age 30 to 44,Female,"$125,000 and more",Ontario
Age 30 to 44,Male,"Less than $25,000",Newfoundland and Labrador
60+,Male,"$50,000 to $74,999",Alberta
60+,Female,"$25,000 to $49,999",Ontario
Age 30 to 44,Male,"$75,000 to $99,999",Quebec
Age 30 to 44,Female,"Less than $25,000",British Columbia
60+,Male,"$125,000 and more",New Brunswick
60+,Male,"$100,000 to $ 124,999",Nova Scotia
60+,Female,"Less than $25,000",New Brunswick
Age 30 to 44,Female,"$75,000 to $99,999",Nova Scotia
Age 30 to 44,Female,"$50,000 to $74,999",Ontario
Age 30 to 44,Female,"$50,000 to $74,999",Nova Scotia
Age 30 to 44,Female,"Less than $25,000",Quebec
Age 18 to 29,Female,"Less than $25,000",Prince Edward Island
60+,Male,"$50,000 to $74,999",British Columbia
60+,Female,"$125,000 and more",Ontario
60+,Female,"$75,000 to $99,999",Quebec
Age 30 to 44,Female,"$50,000 to $74,999",Prince Edward Island
Age 18 to 29,Female,"Less than $25,000",Alberta
45 to 59,Female,"$75,000 to $99,999",Manitoba
60+,Female,"$50,000 to $74,999",British Columbia
Age 18 to 29,Male,"Less than $25,000",Newfoundland and Labrador
Age 30 to 44,Female,"$75,000 to $99,999",Newfoundland and Labrador
45 to 59,Male,"Less than $25,000",Manitoba
45 to 59,Male,"$25,000 to $49,999",Ontario
Age 18 to 29,Male,"$75,000 to $99,999",Alberta
Age 18 to 29,Female,"$75,000 to $99,999",Ontario
60+,Female,"$75,000 to $99,999",Ontario
45 to 59,Female,"$50,000 to $74,999",Ontario
45 to 59,Female,"$100,000 to $ 124,999",Quebec
Age 30 to 44,Female,"$25,000 to $49,999",New Brunswick
Age 18 to 29,Female,"$75,000 to $99,999",Saskatchewan
45 to 59,Male,"$125,000 and more",Ontario
45 to 59,Male,"$25,000 to $49,999",British Columbia
60+,Female,"Less than $25,000",Newfoundland and Labrador
60+,Female,"$50,000 to $74,999",Saskatchewan
NA,Female,"$125,000 and more",Quebec
45 to 59,Male,"$125,000 and more",Ontario
Age 18 to 29,Male,"$25,000 to $49,999",British Columbia
Age 30 to 44,Male,"$125,000 and more",Ontario
Age 30 to 44,Female,"$50,000 to $74,999",Alberta
45 to 59,Female,"Less than $25,000",Ontario
45 to 59,Female,"$75,000 to $99,999",Quebec
60+,Female,"Less than $25,000",New Brunswick
60+,Female,"$25,000 to $49,999",Quebec
Age 18 to 29,Male,"Less than $25,000",Ontario
Age 30 to 44,Male,"$125,000 and more",New Brunswick
45 to 59,Male,"$50,000 to $74,999",New Brunswick
Age 30 to 44,Female,"Less than $25,000",Ontario
60+,Female,"$75,000 to $99,999",Quebec
45 to 59,Male,"$125,000 and more",Ontario
45 to 59,Female,"$100,000 to $ 124,999",Ontario
Age 18 to 29,Male,"$100,000 to $ 124,999",Ontario
Age 18 to 29,Male,"$25,000 to $49,999",Ontario
Age 18 to 29,Male,"$50,000 to $74,999",Ontario
Age 30 to 44,Male,"$125,000 and more",Ontario
Age 30 to 44,Male,"$75,000 to $99,999",Alberta
Age 30 to 44,Female,"$100,000 to $ 124,999",Prince Edward Island
60+,Female,"$25,000 to $49,999",Quebec
45 to 59,Female,"$125,000 and more",Ontario
45 to 59,Male,"$125,000 and more",Newfoundland and Labrador
60+,Female,"$25,000 to $49,999",New Brunswick
Age 30 to 44,Female,"$75,000 to $99,999",British Columbia
45 to 59,Female,"Less than $25,000",Newfoundland and Labrador
60+,Male,"$125,000 and more",Quebec
Age 18 to 29,Female,"$50,000 to $74,999",Quebec
60+,Male,"$50,000 to $74,999",British Columbia
45 to 59,Female,"$125,000 and more",British Columbia
Age 30 to 44,Female,"$125,000 and more",Manitoba
45 to 59,Male,"Less than $25,000",Nova Scotia
Age 18 to 29,Female,"$125,000 and more",Newfoundland and Labrador
60+,Male,"$50,000 to $74,999",Manitoba
60+,Male,"$50,000 to $74,999",Newfoundland and Labrador
Age 30 to 44,Female,"$125,000 and more",Newfoundland and Labrador
60+,Male,"$125,000 and more",Manitoba
60+,Male,"$100,000 to $ 124,999",Saskatchewan
60+,Female,"$25,000 to $49,999",Quebec
Age 18 to 29,Male,"$25,000 to $49,999",Nova Scotia
60+,Male,"$50,000 to $74,999",Ontario
Age 18 to 29,Female,"$50,000 to $74,999",Alberta
60+,Female,"Less than $25,000",Quebec
Age 30 to 44,Female,"$25,000 to $49,999",Saskatchewan
45 to 59,Male,"$75,000 to $99,999",Manitoba
Age 30 to 44,Male,"$50,000 to $74,999",British Columbia
Age 30 to 44,Male,"$75,000 to $99,999",Ontario
60+,Male,"$125,000 and more",Quebec
60+,Male,"$100,000 to $ 124,999",Nova Scotia
Age 18 to 29,Male,"$125,000 and more",Ontario
Age 18 to 29,Female,"$125,000 and more",Quebec
Age 30 to 44,Male,"$25,000 to $49,999",New Brunswick
45 to 59,Female,"$125,000 and more",British Columbia
60+,Male,"$75,000 to $99,999",Ontario
Age 18 to 29,Male,"$50,000 to $74,999",Ontario
60+,Female,"$25,000 to $49,999",Quebec
45 to 59,Female,"$25,000 to $49,999",Quebec
Age 18 to 29,Female,"$100,000 to $ 124,999",Quebec
45 to 59,Male,"$50,000 to $74,999",Quebec
60+,Female,"$50,000 to $74,999",Quebec
45 to 59,Male,"$125,000 and more",British Columbia
Age 18 to 29,Female,"$50,000 to $74,999",Quebec
60+,Male,"$100,000 to $ 124,999",Ontario
Age 18 to 29,Male,"$50,000 to $74,999",Ontario
Age 30 to 44,Female,"$75,000 to $99,999",Ontario
60+,Female,"$25,000 to $49,999",Prince Edward Island
60+,Female,"$50,000 to $74,999",Ontario
60+,Male,"$50,000 to $74,999",British Columbia
Age 30 to 44,Female,"$125,000 and more",Alberta
45 to 59,Female,"$50,000 to $74,999",Newfoundland and Labrador
60+,Male,"Less than $25,000",Ontario
45 to 59,Male,"$25,000 to $49,999",Nova Scotia
60+,Male,"Less than $25,000",Nova Scotia
60+,Female,"$50,000 to $74,999",Nova Scotia
45 to 59,Male,"$125,000 and more",Nova Scotia
Age 30 to 44,Female,"$125,000 and more",Newfoundland and Labrador
60+,Female,"$25,000 to $49,999",Nova Scotia
45 to 59,Male,"$25,000 to $49,999",Nova Scotia
45 to 59,Female,"Less than $25,000",Newfoundland and Labrador
45 to 59,Male,"Less than $25,000",Quebec
Age 30 to 44,Male,"$75,000 to $99,999",Ontario
60+,Female,"$75,000 to $99,999",British Columbia
NA,Male,"$125,000 and more",Ontario
Age 30 to 44,Female,"Less than $25,000",Ontario
Age 18 to 29,Female,"$75,000 to $99,999",British Columbia
60+,Female,"Less than $25,000",Prince Edward Island
Age 30 to 44,Female,"$75,000 to $99,999",Quebec
45 to 59,Female,"Less than $25,000",Manitoba
60+,Female,"$75,000 to $99,999",New Brunswick
Age 18 to 29,Male,"$125,000 and more",Quebec
Age 30 to 44,Female,"$75,000 to $99,999",New Brunswick
60+,Male,"Less than $25,000",Ontario
60+,Male,"$75,000 to $99,999",New Brunswick
45 to 59,Female,"$25,000 to $49,999",British Columbia
60+,Male,"$125,000 and more",New Brunswick
45 to 59,Male,"$50,000 to $74,999",New Brunswick
45 to 59,Male,"$125,000 and more",Ontario
45 to 59,Male,"$25,000 to $49,999",Alberta
45 to 59,Female,"$125,000 and more",British Columbia
60+,Male,"$50,000 to $74,999",Ontario
60+,Female,"$25,000 to $49,999",Ontario
60+,Male,"$50,000 to $74,999",Quebec
45 to 59,Male,"Less than $25,000",Manitoba
45 to 59,Female,"$75,000 to $99,999",British Columbia
60+,Female,"$25,000 to $49,999",Nova Scotia
45 to 59,Female,"Less than $25,000",British Columbia
60+,Female,"Less than $25,000",Quebec
Age 30 to 44,Female,"$125,000 and more",British Columbia
Age 18 to 29,Male,"$100,000 to $ 124,999",Manitoba
60+,Female,"$25,000 to $49,999",Ontario
Age 30 to 44,Female,"$75,000 to $99,999",Alberta
45 to 59,Male,"$100,000 to $ 124,999",Saskatchewan
60+,Male,"$25,000 to $49,999",Quebec
60+,Male,"$25,000 to $49,999",Ontario
45 to 59,Female,"$125,000 and more",Prince Edward Island
45 to 59,Male,"$50,000 to $74,999",Nova Scotia
Age 30 to 44,Female,"$25,000 to $49,999",Saskatchewan
60+,Male,"$75,000 to $99,999",Manitoba
Age 18 to 29,Male,"$100,000 to $ 124,999",Saskatchewan
Age 30 to 44,Female,"$100,000 to $ 124,999",Ontario
60+,Female,"$25,000 to $49,999",Quebec
60+,Female,"$25,000 to $49,999",Quebec
60+,Male,"$100,000 to $ 124,999",Newfoundland and Labrador
45 to 59,Female,"$75,000 to $99,999",Ontario
60+,Female,"$50,000 to $74,999",Quebec
Age 30 to 44,Male,"$100,000 to $ 124,999",British Columbia
60+,Male,"$125,000 and more",Ontario
Age 18 to 29,Female,"$75,000 to $99,999",Saskatchewan
60+,Male,"$50,000 to $74,999",Newfoundland and Labrador
60+,Male,"$125,000 and more",British Columbia
Age 30 to 44,Female,"$125,000 and more",Ontario
45 to 59,Female,"$125,000 and more",Prince Edward Island
45 to 59,Female,"$75,000 to $99,999",Manitoba
45 to 59,Male,"$100,000 to $ 124,999",Quebec
Age 18 to 29,Male,"Less than $25,000",Alberta
60+,Female,"$25,000 to $49,999",Manitoba
60+,Female,"$50,000 to $74,999",Ontario
Age 30 to 44,Female,"$75,000 to $99,999",Quebec
60+,Female,"$50,000 to $74,999",Newfoundland and Labrador
60+,Male,"$75,000 to $99,999",Ontario
60+,Male,"Less than $25,000",British Columbia
Age 30 to 44,Female,"$25,000 to $49,999",Ontario
45 to 59,Female,"$100,000 to $ 124,999",Nova Scotia
Age 30 to 44,Female,"$75,000 to $99,999",Saskatchewan
Age 30 to 44,Male,"$125,000 and more",New Brunswick
60+,Male,"$125,000 and more",Ontario
45 to 59,Female,"$125,000 and more",New Brunswick
60+,Female,"Less than $25,000",Quebec
Age 30 to 44,Female,"$25,000 to $49,999",Ontario
45 to 59,Male,"$25,000 to $49,999",New Brunswick
60+,Female,"$75,000 to $99,999",Saskatchewan
60+,Female,"$50,000 to $74,999",British Columbia
45 to 59,Male,"$75,000 to $99,999",Nova Scotia
45 to 59,Female,"$125,000 and more",British Columbia
45 to 59,Female,"$125,000 and more",Ontario
60+,Female,"$50,000 to $74,999",Ontario
Age 30 to 44,Male,"$25,000 to $49,999",Ontario
60+,Male,"$50,000 to $74,999",Ontario
60+,Female,"Less than $25,000",Ontario
45 to 59,Female,"$25,000 to $49,999",New Brunswick
45 to 59,Female,"$25,000 to $49,999",Nova Scotia
60+,Male,"$75,000 to $99,999",Quebec
60+,Female,"Less than $25,000",Quebec
60+,Male,"Less than $25,000",Ontario
Age 30 to 44,Female,"$75,000 to $99,999",Ontario
Age 30 to 44,Male,"$25,000 to $49,999",Manitoba
45 to 59,Male,"$50,000 to $74,999",Nova Scotia
60+,Male,"$50,000 to $74,999",Newfoundland and Labrador
60+,Female,"$75,000 to $99,999",New Brunswick
45 to 59,Female,"$100,000 to $ 124,999",British Columbia
Age 30 to 44,Male,"$125,000 and more",Newfoundland and Labrador
45 to 59,Female,"$50,000 to $74,999",Quebec
60+,Female,"$50,000 to $74,999",Nova Scotia
45 to 59,Male,"$125,000 and more",Quebec
60+,Male,"$125,000 and more",British Columbia
45 to 59,Female,"Less than $25,000",Ontario
Age 30 to 44,Female,"$50,000 to $74,999",Nova Scotia
Age 18 to 29,Male,"$50,000 to $74,999",Nova Scotia
Age 30 to 44,Female,"$125,000 and more",Quebec
Age 30 to 44,Male,"$125,000 and more",Quebec
Age 30 to 44,Female,"Less than $25,000",Quebec
Age 30 to 44,Male,"$25,000 to $49,999",Newfoundland and Labrador
Age 18 to 29,Female,"Less than $25,000",Alberta
Age 30 to 44,Female,"$125,000 and more",Quebec
45 to 59,Female,"$125,000 and more",Quebec
60+,Male,"Less than $25,000",Manitoba
45 to 59,Male,"$75,000 to $99,999",Manitoba
NA,Male,"$125,000 and more",Ontario
60+,Male,"$100,000 to $ 124,999",Newfoundland and Labrador
60+,Male,"$25,000 to $49,999",Ontario
Age 30 to 44,Male,"$25,000 to $49,999",Ontario
Age 30 to 44,Female,"$50,000 to $74,999",British Columbia
60+,Female,"Less than $25,000",Ontario
60+,Female,"Less than $25,000",Quebec
60+,Female,"$50,000 to $74,999",Ontario
Age 18 to 29,Male,"$100,000 to $ 124,999",Ontario
Age 30 to 44,Female,"$100,000 to $ 124,999",New Brunswick
45 to 59,Female,"Less than $25,000",Ontario
60+,Male,"$50,000 to $74,999",New Brunswick
Age 30 to 44,Female,"$100,000 to $ 124,999",Alberta
60+,Female,"$125,000 and more",Quebec
60+,Female,"$50,000 to $74,999",Quebec
45 to 59,Female,"$75,000 to $99,999",Quebec
60+,Female,"$75,000 to $99,999",Quebec
45 to 59,Male,"$75,000 to $99,999",Ontario
45 to 59,Female,"$75,000 to $99,999",Ontario
45 to 59,Male,"$125,000 and more",Prince Edward Island
Age 30 to 44,Female,"$50,000 to $74,999",Ontario
60+,Male,"$125,000 and more",British Columbia
60+,Female,"$125,000 and more",Ontario
45 to 59,Female,"$75,000 to $99,999",New Brunswick
60+,Male,"$50,000 to $74,999",Quebec
NA,Female,"$100,000 to $ 124,999",Ontario
45 to 59,Female,"$75,000 to $99,999",British Columbia
Age 30 to 44,Male,"$50,000 to $74,999",Ontario
60+,Male,"$50,000 to $74,999",Ontario
Age 18 to 29,Male,"$125,000 and more",Ontario
60+,Male,"$100,000 to $ 124,999",Alberta
Age 30 to 44,Female,"Less than $25,000",New Brunswick
60+,Female,"$125,000 and more",Prince Edward Island
60+,Female,"$100,000 to $ 124,999",Newfoundland and Labrador
45 to 59,Female,"$100,000 to $ 124,999",Quebec
60+,Female,"$25,000 to $49,999",Ontario
60+,Female,"$100,000 to $ 124,999",Manitoba
60+,Female,"$50,000 to $74,999",Prince Edward Island
Age 18 to 29,Female,"$125,000 and more",Nova Scotia
45 to 59,Female,"$75,000 to $99,999",Quebec
Age 30 to 44,Male,"$125,000 and more",Ontario
60+,Female,"$100,000 to $ 124,999",Ontario
45 to 59,Female,"$25,000 to $49,999",British Columbia
Age 18 to 29,Female,"$25,000 to $49,999",New Brunswick
60+,Female,"$50,000 to $74,999",Prince Edward Island
Age 30 to 44,Male,"$125,000 and more",Ontario
NA,Male,"$50,000 to $74,999",Alberta
60+,Male,"$125,000 and more",Prince Edward Island
60+,Male,"$50,000 to $74,999",Ontario
Age 18 to 29,Female,"$25,000 to $49,999",Alberta
60+,Female,"$50,000 to $74,999",British Columbia
45 to 59,Male,"$100,000 to $ 124,999",Prince Edward Island
Age 30 to 44,Female,"$125,000 and more",Saskatchewan
60+,Male,"$75,000 to $99,999",British Columbia
Age 30 to 44,Female,"$125,000 and more",Quebec
60+,Female,"$50,000 to $74,999",New Brunswick
60+,Male,"$125,000 and more",Newfoundland and Labrador
45 to 59,Male,"$50,000 to $74,999",Quebec
45 to 59,Male,"$125,000 and more",Alberta
Age 30 to 44,Female,"$75,000 to $99,999",British Columbia
45 to 59,Male,"$50,000 to $74,999",Saskatchewan
Age 30 to 44,Female,"$25,000 to $49,999",New Brunswick
60+,Female,"$50,000 to $74,999",Ontario
45 to 59,Male,"$75,000 to $99,999",Alberta
Age 30 to 44,Male,"$50,000 to $74,999",Quebec
45 to 59,Female,"$125,000 and more",Ontario
45 to 59,Female,"$100,000 to $ 124,999",Newfoundland and Labrador
Age 18 to 29,Female,"$125,000 and more",New Brunswick
60+,Female,"Less than $25,000",Nova Scotia
45 to 59,Male,"$125,000 and more",Quebec
60+,Female,"$125,000 and more",Saskatchewan
Age 18 to 29,Male,"Less than $25,000",Quebec
45 to 59,Female,"$50,000 to $74,999",Ontario
45 to 59,Male,"Less than $25,000",Ontario
60+,Male,"$25,000 to $49,999",New Brunswick
60+,Female,"$50,000 to $74,999",Ontario
60+,Female,"$25,000 to $49,999",Ontario
60+,Male,"$75,000 to $99,999",New Brunswick
60+,Female,"$100,000 to $ 124,999",Ontario
60+,Male,"$50,000 to $74,999",Manitoba
60+,Female,"$50,000 to $74,999",Alberta
45 to 59,Female,"$100,000 to $ 124,999",Newfoundland and Labrador
45 to 59,Female,"$125,000 and more",Manitoba
Age 18 to 29,Male,"$75,000 to $99,999",Manitoba
60+,Female,"$125,000 and more",British Columbia
Age 18 to 29,Female,"$75,000 to $99,999",Ontario
Age 18 to 29,Female,"Less than $25,000",Quebec
Age 30 to 44,Male,"$50,000 to $74,999",Ontario
Age 30 to 44,Male,"$100,000 to $ 124,999",Ontario
Age 18 to 29,Female,"$100,000 to $ 124,999",Alberta
60+,Female,"$50,000 to $74,999",Prince Edward Island
60+,Male,"Less than $25,000",New Brunswick
45 to 59,Male,"$125,000 and more",Ontario
60+,Male,"Less than $25,000",New Brunswick
60+,Male,"$25,000 to $49,999",Quebec
60+,Male,"$125,000 and more",Ontario
Age 18 to 29,Male,"$125,000 and more",Alberta
Age 30 to 44,Male,"$100,000 to $ 124,999",Ontario
45 to 59,Male,"$125,000 and more",Newfoundland and Labrador
Age 30 to 44,Male,"$125,000 and more",Ontario
Age 18 to 29,Female,"$50,000 to $74,999",Newfoundland and Labrador
Age 30 to 44,Female,"$125,000 and more",Ontario
60+,Male,"Less than $25,000",Manitoba
60+,Female,"$50,000 to $74,999",Quebec
60+,Female,"$100,000 to $ 124,999",Alberta
Age 18 to 29,Female,"Less than $25,000",Quebec
Age 30 to 44,Male,"$25,000 to $49,999",Saskatchewan
45 to 59,Female,"$25,000 to $49,999",Ontario
Age 30 to 44,Male,"$25,000 to $49,999",Quebec
60+,Female,"$50,000 to $74,999",New Brunswick
Age 30 to 44,Female,"$75,000 to $99,999",Saskatchewan
60+,Male,"$25,000 to $49,999",British Columbia
45 to 59,Female,"$125,000 and more",Ontario
Age 30 to 44,Male,"$100,000 to $ 124,999",British Columbia
45 to 59,Male,"Less than $25,000",Ontario
60+,Female,"$75,000 to $99,999",New Brunswick
Age 30 to 44,Male,"$25,000 to $49,999",Ontario
Age 18 to 29,Female,"$125,000 and more",Newfoundland and Labrador
60+,Female,"Less than $25,000",New Brunswick
Age 30 to 44,Male,"$75,000 to $99,999",Manitoba
45 to 59,Female,"$100,000 to $ 124,999",Manitoba
Age 30 to 44,Female,"$75,000 to $99,999",Quebec
60+,Male,"Less than $25,000",Newfoundland and Labrador
60+,Female,"$50,000 to $74,999",Nova Scotia
45 to 59,Male,"$75,000 to $99,999",Quebec
60+,Male,"$100,000 to $ 124,999",Ontario
45 to 59,Female,"$125,000 and more",Nova Scotia
45 to 59,Female,"$50,000 to $74,999",Prince Edward Island
Age 30 to 44,Female,"$125,000 and more",Ontario
60+,Male,"$50,000 to $74,999",British Columbia
45 to 59,Female,"$125,000 and more",Ontario
Age 30 to 44,Female,"$25,000 to $49,999",Ontario
60+,Female,"$25,000 to $49,999",Manitoba
Age 18 to 29,Male,"$25,000 to $49,999",Newfoundland and Labrador
Age 30 to 44,Male,"$50,000 to $74,999",Ontario
60+,Female,"$25,000 to $49,999",Saskatchewan
Age 18 to 29,Female,"Less than $25,000",Quebec
Age 18 to 29,Female,"$125,000 and more",Quebec
Age 30 to 44,Female,"$25,000 to $49,999",Manitoba
Age 30 to 44,Female,"$125,000 and more",Newfoundland and Labrador
45 to 59,Female,"$100,000 to $ 124,999",British Columbia
Age 18 to 29,Male,"$25,000 to $49,999",Quebec
Age 30 to 44,Female,"$25,000 to $49,999",Alberta
60+,Male,"$125,000 and more",Manitoba
NA,Male,"$125,000 and more",Quebec
